LOCODE,LAT,LON
GPSBH,17.9,-62.85
GPPTP,16.233333333333334,-61.53333333333333
GPBBR,16,-61.71666666666667
GPPTL,16.416666666666668,-61.53333333333333
MQFDF,14.6,-61.05
GFDDC,4.866666666666667,-52.266666666666666
SESMD,58.93333333333333,11.183333333333334
SEGRE,58.683333333333,11.266666666667
SEFJA,58.6,11.283333333333
SEBLD,58.483333333333,11.333333333333
SEHUN,58.433333333333,11.3
SEBRO,58.35,11.383333333333333
SELYS,58.28333333333333,11.433333333333334
SEUDD,58.36666666666667,11.933333333333334
SESTE,58.75,11.816666666666666
SEMSD,57.88333333333333,13.583333333333334
SEGOT,57.71666666666667,11.966666666666667
SEVAG,57.116666666667,12.25
SEFAG,56.88333333333333,12.5
SEHAD,56.666666666666664,12.85
SEHOG,56.2,12.55
SEHEL,56.05,12.7
SELAA,55.86666666666667,12.833333333333334
SEMMA,55.6,13
SELIM,55.583333333333336,12.95
SETRG,55.36666666666667,13.166666666666666
SEYST,55.416666666666664,13.816666666666666
SESIM,55.55,14.333333333333334
SEAHU,55.916666666666664,14.283333333333333
SESOL,56.05,14.55
SEKAN,56.166666666666664,14.85
SERNB,56.2,15.3
SEKAA,56.166666666666664,15.583333333333334
SEBEA,56.38333333333333,16.083333333333332
SEKLR,56.666666666666664,16.366666666666667
SEJAT,57.1,16.566666666667
SEOSK,57.266666666666666,16.433333333333334
SEFIG,57.366666666667,16.5
SEDEG,56.35,16.416666666667
SERNH,57.166666666666664,18.483333333333334
SESLI,57.71666666666667,18.8
SEFSD,57.916666666667,19.05
SESUS,57.75,18.816666666666666
SEVBY,57.63333333333333,18.3
SEKLI,57.4,18.2
SEVER,57.733333333333,16.533333333333
SEVVK,57.75,16.633333333333333
SENRK,58.6,16.183333333333334
SEOXE,58.666666666666664,17.1
SENYO,58.916666666666664,17.166666666666668
SESOE,59.2,17.616666666666667
SENYN,58.9,17.95
SEGUB,59.316666666667,18.383333333333
SESTO,59.333333333333336,18.05
SEVST,59.61666666666667,16.55
SEGRH,60.1,18.833333333333332
SEHAK,60.05,18.6
SEHAN,60.166666666666664,18.466666666666665
SESSR,60.63333333333333,17.416666666666668
SEKAS,60.68333333333333,17.266666666666666
SEGVX,60.666666666666664,17.166666666666668
SENOT,60.95,17.133333333333333
SEVAL,61.18333333333333,17.183333333333334
SESAE,61.266666666667,17.183333333333
SESOO,61.3,17.083333333333
SEIGG,61.63333333333333,17.066666666666666
SEHUV,61.733333333333334,17.1
SESTA,61.88333333333333,17.333333333333332
SESTK,62.333333333333336,17.35
SESDL,62.38333333333333,17.3
SEVIV,62.483333333333,17.35
SESOR,62.5,17.5
SEHND,62.63333333333333,17.933333333333334
SEUTA,62.766666666667,17.933333333333
SEGUS,62.833333333333336,17.883333333333333
SEKRF,62.93333333333333,17.783333333333335
SEVAJ,62.983333333333,17.716666666667
SEBOL,63,17.683333333333334
SEKMH,63.166666666666664,18.566666666666666
SEDOM,63.266666666667,18.733333333333
SEOER,63.3,18.716666666666665
SEHUS,63.333333333333336,19.166666666666668
SERUV,63.53333333333333,19.433333333333334
SENOG,63.666666666666664,19.416666666666668
SEOBB,63.7,20.333333333333
SEUME,63.833333333333336,20.25
SESKE,64.68333333333334,21.233333333333334
SEBNF,65.016666666667,21.383333333333002
SEPIT,65.33333333333333,21.5
SELLA,65.58333333333333,22.15
SETOE,65.9,22.65
SEKXV,65.8,23.283333333333335
SESAK,65.733333333333,23.766666666667
FITOR,65.85,24.183333333333334
FIKEM,65.73333333333333,24.566666666666666
FIOUL,65.01666666666667,25.466666666666665
FIRAA,64.68333333333334,24.483333333333334
FIVEI,65.68333333333334,24.633333333333333
FIRAH,64.2,23.733333333333
FIHIM,64.06666666666666,23.65
FIKOK,63.833333333333336,23.116666666666667
FIUKP,63.53333333333333,22.533333333333335
FIHLL,63.283333333333,22.233333333333
FIVAA,63.1,21.6
FIKAS,60.61666666666667,21.883333333333333
FIKRS,62.28333333333333,21.383333333333333
FIPOR,61.483333333333334,21.8
FIMTL,61.6,21.483333333333
FITHK,61.63333333333333,21.416666666666668
FIRAU,61.13333333333333,21.5
FIUKI,60.8,21.416666666666668
FINLI,60.45,22.033333333333335
FITKU,60.45,22.283333333333335
FITOK,60.333333333333336,25.583333333333332
FIMHQ,60.1,19.95
FIPAR,60.3,22.3
FIHKO,59.816666666667,22.95
FITAI,59.96666666666667,23.433333333333334
FIJUS,59.81666666666667,23.566666666666666
FIPOA,60.083333333333,24.383333333333
FIINK,60.016666666667,23.916666666667
FIHEL,60.166666666667,24.966666666667
FIPRV,60.4,25.666666666666668
FILOV,60.45,26.233333333333334
FIKTK,60.46666666666667,26.916666666666668
FIHMN,60.56666666666667,27.2
EEKUN,59.533333333333,26.533333333333
EETLL,59.43333333333333,24.733333333333334
EEMUU,59.5,24.95
EEPLA,59.35,24.033333333333
EEOSM,59.28333333333333,23.416666666666668
EEPAR,59.45,24.75
LVSAL,57.75,24.35
LVRIX,56.95,24.1
LVVNT,57.4,21.533333333333
LVLPX,56.516666666666666,21.016666666666666
LTKLJ,55.716666666667,21.116666666667
PLGDN,54.35,18.666666666667
PLNOW,54.4,18.666666666666668
PLGDY,54.5,18.55
PLPLC,53.566666666667,14.566666666667
PLUST,54.583333333333336,16.85
PLDAR,54.416666666666664,16.416666666666668
PLKOL,54.18333333333333,15.583333333333334
PLSWI,53.9,14.25
PLSZZ,53.416666666667,14.55
DEWOL,54.05,13.783333333333
DESAS,54.516666666667,13.65
DESTL,54.316666666667,13.1
DERSK,54.083333333333336,12.133333333333333
DEWIS,53.9,11.466666666667
DETRV,53.966666666667,10.883333333333
DELBC,53.883333333333,10.7
DENHO,54.1,10.816666666666666
DEORT,54.45,11.05
DEHHF,54.366666666667,10.983333333333
DEKEL,54.333333333333336,10.133333333333333
DEECK,54.483333333333,9.8333333333333
DEKAP,54.666666666667,9.9333333333333
DEFLF,54.8,9.4333333333333
DKNEX,55.066666666667,15.133333333333
DKRNN,55.1,14.7
DKHSL,55.183333333333,14.7
DKCSO,55.31666666666667,15.183333333333334
DKFAK,55.216666666667,12.166666666667
DKKOG,55.45,12.2
DKCPH,55.666666666666664,12.583333333333334
DKTUB,55.716666666667,12.583333333333
DKHLS,56.033333333333,12.616666666667
DKHUN,55.966666666667,11.85
DKFDV,55.966666666667,12.016666666667
DKFDS,55.833333333333336,12.066666666666666
DKKBY,55.816666666667004,11.883333333333
DKHBK,55.716666666667,11.716666666667
DKNYM,56.78333333333333,8.85
DKKAL,55.683333333333,11.1
DKKRR,55.333333333333,11.133333333333
DKSSK,55.25,11.3
DKSTN,55.2,11.25
DKGFH,55.2,11.266666666667
DKNVD,55.233333333333334,11.766666666666667
DKVOR,55,11.9
DKSBK,54.88333333333333,12.05
DKSTE,54.983333333333,12.283333333333
DKNYF,54.766666666666666,11.883333333333333
DKSAX,54.8,11.633333333333
DKBDX,54.833333333333,11.5
DKNAK,54.833333333333,11.133333333333
DKROD,54.65,11.35
DKNTD,54.666666666667,11.733333333333
DKRKB,54.95,10.716666666667
DKMRS,54.916666666667,10.333333333333
DKARK,54.883333333333,10.416666666667
DKSVE,55.066666666667,10.616666666667
DKNBG,55.316666666667,10.8
DKKTD,55.45,10.666666666667
DKODE,55.416666666667,10.383333333333
DKSKB,55.516666666667,9.6166666666667
DKMID,55.5,9.7333333333333
DKASN,55.266666666667,9.8833333333333
DKFAA,55.1,10.25
DKSGD,54.9,9.783333333333333
DKAUB,54.95,9.8666666666667
DKAAB,55.03333333333333,9.433333333333334
DKENS,55.016666666666666,9.433333333333334
