LOCODE,LAT,LON
GBABD,57.125,-2.0937
CIABJ,5.32,-4.03
AEAUH,24.4531,54.3593
SVAQJ,13.5781,-89.8281
AUADL,-34.9218,138.5937
YEADE,12.76667,45.01667
MAAGA,30.5,-9.667
SAJBI,27.05,49.5667
EGALY,31.1875,29.8906
ESALG,36.125,-5.45
DZALG,36.7812,3.0468
TRAMB,40.983,28.745
DZAAE,36.8906,7.7656
BEANR,51.216666,4.416666
NGAPP,6.4218,3.3437
JOAQB,29.55,35.0
CLARI,-18.49,-70.3
ILASH,31.8125,34.6406
NZAKL,-36.86667,174.766667
ARBHI,-38.71667,-62.28333
BHBAH,26.0,50.5
PABLB,8.9375,-79.5625
USBAL,39.28973,-76.6212
IRBND,27.2,56.25
GMBJL,13.451189,-16.584243
ESBCN,41.38334,2.18334
COBAQ,10.98,-74.8
GQBSG,1.85,9.77
LBBEY,33.8593,35.5
DZBJA,36.75,5.08333
BZBZE,17.51,-88.3
LYBEN,32.1093,20.0625
NOBGO,60.3834,5.31667
GWOXB,11.851832,-15.587181
CDBOA,-5.84,13.053
TRUSK,41.012,29.02
DEBRV,53.55,8.58
FRBES,48.3906,-4.4687
AUBNE,-27.5,153.0156
COBUN,3.9,-77.033333
ARBUE,-34.612,-58.466667
KRPUS,35.1,129.04
PECLL,-12.06667,-77.0
ZACPT,-33.9166,18.416666
COCTG,10.38,-75.5
ESCAR,37.5937,-0.9687
MACAS,33.583333,-7.616666
DOCAU,18.41667,-69.6333
USCHS,32.79423,-79.94032
INMAA,13.06,80.18
BDCGP,22.3281,91.8281
CNCWN,22.493138,113.888909
INCOK,9.987639,76.236338
LKCMB,6.933334,79.85
GNCKY,9.519446,-13.709253
ROCND,44.17541,28.63817
NICIO,12.0312,-86.3437
IEORK,51.9,-8.466666
BJCOO,6.35,2.43
VNDAD,16.0,108.25
SNDKR,14.684,-17.446
CNDLC,38.922061,121.646487
EGDAM,31.4062,31.7968
SADMM,26.4218,50.1093
TZDAR,-6.817,39.277
DJJIB,11.598434,43.148656
CMDLA,3.75,9.9375
IEDUB,53.333333,-6.25
FRDKK,51.0468,2.3593
ZADUR,-29.8437,31.0156
USDUT,53.81,-166.53743
ZAELS,-32.989,27.898
MXESE,31.86667,-116.61667
ECESM,0.9687,-79.6875
WP081,-0.9218,-47.7187
GBFXT,51.9531,1.35
MQFDF,14.602804,-61.081786
FRFOS,43.433333,4.95
BSFPO,26.5312,-78.6875
SLFNA,8.4687,-13.2187
AUFRE,-32.0468,115.7656
NOFUS,60.1875,5.5937
CNFOC,26.0781,119.2968
PLGDY,54.5,18.55
PHGES,6.11667,125.16667
ITGOA,44.42,8.95
ITGIT,38.416666,15.9
SEGOT,57.7031,11.9531
GBGRG,56.0156,-3.7187
GUGUM,13.381,144.721
ECGYE,-2.169538,-79.902519
ILHFA,32.7968,34.9687
VNHPH,20.866667,106.68334
JPHKT,33.5937,130.4062
INHAL,22.02,88.02
DEHAM,53.55,10.0
CUHAV,23.125,-82.3593
TRHAY,41.03693,28.92393
VNSGN,10.75,106.66667
YEHOD,14.8,43.2
HKHKG,22.320135,114.200376
USHNL,21.38451,-157.93542
USHOU,29.7631,-95.3631
CNHUA,22.6875,113.3125
UAILK,46.29897,30.65714
KRICH,37.475,126.636
CLIQQ,-20.2031,-70.1562
BRIGI,-22.966,-43.702
BRITJ,-26.52,-48.69
TRIZM,38.4062,27.15
TRIZE,40.798,29.665
IDJKT,-6.1667,106.8
INNSA,18.56,73.02
AEJEA,25.14,55.19
SAJED,21.48334,39.2
RUKGD,54.7031,20.5
INIXY,23.0312,70.21666
TWKHH,22.633334,120.28333
PKKHI,24.866667,67.05
TWKEL,25.125,121.7187
WP082,54.2071,10.0875
JPUKB,34.68,135.17
INCCU,22.5312,88.3593
SIKOP,45.54548,13.739
FIKTK,60.47,26.92
NOKRS,58.1562,8.0
KRKAN,34.97,127.58
VELAG,10.6,-66.93333
FRLPE,46.16774,-1.19276
THLCH,13.382173,100.991433
NOLAR,59.0625,10.0
ESLPA,28.1,-15.42
SYLTK,35.52,35.79
FJLTK,-17.61,177.455
MXLZC,22.1875,-105.2343
FRLEH,49.5,0.125
ITLIV,43.55,10.316
PTLEI,41.192526,-8.709055
CNLYG,34.7187,119.4375
GALBV,0.394,9.5465
CYLMS,34.66667,33.03333
CLLQN,-36.7031,-72.9531
PTLIS,38.7167,-9.13
AOLOB,-12.3437,13.5468
TGLFW,6.125,1.2031
USLGB,33.766448,-118.194944
USLAX,34.0522,-118.2428
AOLAD,-9.11,13.242
NZLYT,-43.6,172.71667
ESAGP,36.71815,-4.42747
BRMAO,-3.06,-60.0
PHMNL,14.58334,121.0
PAMIT,9.35,-79.9
MTMAR,35.85,14.55
CDMAT,-5.814,13.469
AUMEL,-37.833333,145.0
ESMLN,35.294129,-2.944813
TRMER,36.8,34.63
USMIA,25.79371,-80.20735
CVMIN,16.89,-24.99
LYMRA,32.375,15.0937
USMOB,30.6942,-88.0431
KEMBA,-4.0468,39.6562
LRMLW,6.3125,-10.7968
UYMVD,-34.883333,-56.183333
FRMTX,47.32495,-2.16266
CAMTR,45.5,-73.5781
OMMCT,23.6093,58.5781
NOMAY,61.938442,5.078354
JPNGO,35.17,136.92
AOMSZ,-15.153104,12.152578
CNNSA,22.76,113.572
NZNPE,-39.483333,176.91666
NZNSN,-41.2812,173.2812
USMSY,29.9544,-90.075
NZNPL,-39.0625,174.0781
USEWR,40.73812,-74.18329
CNNGB,29.875,121.5468
USORF,36.85373,-76.28163
USNTS,32.87161,-79.99029
MRNDB,20.8906,-17.0625
MRNKC,18.0937,-15.9375
NCNOU,-22.286509,166.440087
USOAK,37.81105,-122.26795
UAODS,46.4531,30.7187
NGONN,4.7031,7.1406
DZORN,35.6875,-0.625
JPOSA,34.67,135.5
PEPAI,-5.0937,-81.1093
PFPPT,-17.535,-149.57
BRPNG,-25.54,-48.51
BRPEC,-3.53,-38.869
MYPEN,5.4062,100.28
USPHL,39.9522,-75.1642
INPAV,20.974917,71.583081
GRPIR,37.95134,23.64113
TTPTS,10.405,-61.482
GPPTP,16.23333,-61.51667
CGPNR,1.5468,15.7968
NZPOE,-45.81667,170.61667
ZAPLZ,-33.9531,25.5781
GAPOG,-0.719,8.774
MYPKG,3.042,101.446
MUPLU,-20.1562,57.5
PKBQM,24.767667,67.33334
EGPSD,31.21583,32.35722
MAPTM,35.885,-5.4847
GEPTI,42.14743,41.67701
CVRAI,14.916666,-23.524
MXPGO,21.29,-89.667
VEPBL,10.46667,-68.01667
CRCAL,9.9375,-84.7031
HNPCR,15.83333,-87.91667
ARPUD,-47.75,-65.8906
CRLIO,9.98,-83.04
ARPMY,-42.7656,-65.0468
CRMOB,9.99,-83.089
GTPRQ,15.0,-91.8125
CNTAO,36.08333,120.35
FIRAU,61.133333,21.5
BRRIG,-32.03333,-52.083333
NLRTM,51.91667,4.5
FRURO,49.4218,1.0781
OMSLL,17.014,54.091
ITSAL,40.41,15.0
CLSAI,-33.58,-71.63
PRSJU,18.454,-66.07
CISPY,4.733333,-6.616666
GTSTC,15.693433,-88.617721
BRSSZ,-23.95,-46.33
BRSFS,-26.25,-48.62
USSAV,32.0833,-81.1
USSEA,47.597244,-122.351973
IDSRG,-6.974997,110.423953
TNSFA,34.72024,10.745077
CNSHA,31.2187,121.4531
AESHJ,25.375,55.408
CNSHK,22.5,113.875
JPSMZ,35.02,138.48
KWSAA,29.0468,48.125
KWSWK,29.3437,47.9062
KHKOS,10.63333,103.53
