LOCODE,LAT,LON
AEAUH,24.4667,54.3667
AEAMU,25.8667,55.0167
AEARP,25.5333,55.55
AEFJR,25.1167,56.3333
AEJAZ,25.7167,55.8
AEAJP,26.0333,56.05
AERUW,24.1167,52.7333
AEDBP,25.6167,56.2667
AEDXB,25.25,55.2667
AEFRP,25.25,55.25
AEHZP,25.3,55.3167
AEHSN,24.9,54.9
AEQWE,25.0,55.05
AEKLB,25.0667,56.35
AEKLF,25.3333,56.35
AEMKH,25.35,55.3667
AEKHL,24.8333,54.6667
AEMRP,25.2667,55.2833
AEMZD,24.5167,54.3667
AEAMF,24.3833,54.4833
AERKP,25.8167,55.95
AERMC,25.95,56.05
AERKT,25.7833,55.95
AERWP,24.1,52.7167
AESHJ,25.35,55.3833
AEQIW,25.5833,55.5833
AEYAS,24.4958385,54.6040121
AEZUR,24.8833,53.0667
AEJEA,25.0,55.05
AEAJM,25.4052165,55.5136433
AEDAS,25.15,52.8833333
AEDUJ,25.115,55.1375
AEEND,24.317,54.45
AEHTL,25.983,55.933
AEJED,24.1915137,52.6126027
AEMBS,24.5779154,53.3056266
AEMSA,25.967,56.067
AEPRA,25.284755,55.2756505
AERFA,24.0535567,53.4122052
AESID,24.533,54.4
AEULR,24.433,54.5
AFDHD,36.65,66.9833
AFQLT,32.1,66.8833
AFRKH,34.1298683,71.0839469
AZKMZ,41.4591168,48.8020626
AZQDG,40.25,49.6
AZSHI,39.9167,48.9167
AZSUQ,40.5833,49.6667
AZBAK,40.408005,49.86735
BDASJ,24.0333,91.0167
BDBNP,23.05,88.9
BDCGP,22.3333,91.8333
BDMUN,23.5449195,90.5296275
BDPGN,23.65,90.45
BDPAY,21.9333,90.2667
BDMGL,22.4942196,89.6016171
BHAHD,26.2333,50.65
BHGBQ,26.25,50.6
BHKBS,26.2,50.6167
BHMIN,26.2,50.6167
BHSIT,26.1333,50.6167
BHMSP,26.2,50.61667
BNBWN,4.8833,114.9333
BNKUB,4.5831986,114.2212174
BNMUA,5.0333206,115.0732883
CCCCK,-12.0,96.8333
CNAPP,21.3833,109.8333
CNAQG,30.5167,117.0333
CNANQ,36.4167,119.1833
CNANT,31.3,121.15
CNAJG,27.5833,120.45
CNBCO,25.4667,105.7833
CNBDG,31.0333,110.3833
