AIS_signaldate,AIS_LAT,AIS_LON,AIS_SOG,AIS_COG,AIS_HDG,AIS_DESTINATION_PORT
2024-09-09T12:45:29.000000,44.1070137024,28.6569728851,4.5,15.4,39.0,SANEO
2024-09-09T12:57:13.000000,44.1046867371,28.6745738983,5.2,113.0,105.0,SANEO
2024-09-09T13:04:20.000000,44.1049728394,28.6874237061,4.6,60.4,62.0,SANEO
2024-09-09T13:15:39.000000,44.0965614319,28.7019062042,7.1,170.9,170.0,SANEO
2024-09-09T13:17:55.000000,44.0918731689,28.7029209137,7.5,169.1,165.0,SANEO
2024-09-09T13:29:24.000000,44.0614318848,28.7181873322,11.9,144.7,141.0,SANEO
2024-09-09T13:33:34.000000,44.0495605469,28.7296333313,12.8,146.3,141.0,SANEO
2024-09-09T13:38:53.000000,44.0335006714,28.7451992035,13.6,145.5,140.0,SANEO
2024-09-09T13:43:54.000000,44.0179214478,28.7607440948,13.9,143.6,141.0,SANEO
2024-09-09T13:49:16.000000,44.0015716553,28.7775592804,13.8,143.3,140.0,SANEO
2024-09-09T13:54:01.000000,43.9865264893,28.7927303314,13.7,152.9,154.0,SANEO
2024-09-09T14:00:23.000000,43.962272644,28.7965526581,14.0,180.3,179.0,SANEO
2024-09-09T14:05:59.000000,43.9403266907,28.7962398529,14.0,180.7,179.0,SANEO
2024-09-09T14:13:18.000000,43.9122886658,28.7956733704,14.0,180.7,179.0,SANEO
2024-09-09T14:21:03.000000,43.8815078735,28.7952136993,14.1,180.3,179.0,SANEO
2024-09-09T14:24:44.000000,43.8689460754,28.7952136993,14.0,177.0,174.0,SANEO
2024-09-09T14:38:09.000000,43.8146247864,28.7981739044,14.1,177.5,175.0,SANEO
2024-09-09T14:44:52.000000,43.7891082764,28.8000068665,14.2,176.5,174.0,SANEO
2024-09-09T14:50:09.000000,43.7673530579,28.8020191193,14.1,175.4,174.0,SANEO
2024-09-09T14:55:21.000000,43.7471084595,28.8044471741,14.0,174.5,173.0,SANEO
2024-09-09T15:15:28.000000,43.6705284119,28.8077926636,13.4,185.9,184.0,SANEO
2024-09-09T15:35:58.000000,43.5943222046,28.8120994568,13.6,175.2,174.0,SANEO
2024-09-09T17:05:51.000000,43.2438468933,28.8447666168,14.0,175.1,173.0,SANEO
2024-09-09T17:22:59.000000,43.1775131226,28.8526935577,13.9,175.2,172.0,SANEO
2024-09-09T18:07:07.000000,43.004573822,28.878200531,14.6,173.7,172.0,SANEO
2024-09-09T22:59:43.000000,41.8449325562,29.0474834442,14.6,175.3,172.0,SANEO
2024-09-09T23:05:20.000000,41.8223190308,29.0499801636,14.6,175.4,172.0,SANEO
2024-09-09T23:27:24.000000,41.7336578369,29.0619792938,14.2,170.9,169.0,SANEO
2024-09-09T23:32:25.000000,41.7140350342,29.0648460388,14.1,174.1,170.0,SANEO
2024-09-09T23:38:19.000000,41.6909866333,29.0681991577,14.0,173.8,172.0,SANEO
2024-09-09T23:55:02.000000,41.6263809204,29.0759563446,13.9,175.4,172.0,SANEO
2024-09-09T23:57:45.000000,41.6159057617,29.077009201,14.0,175.7,172.0,SANEO
2024-09-10T00:13:27.000000,41.5544052124,29.083530426,14.3,176.1,173.0,SANEO
2024-09-10T00:18:29.000000,41.5346717834,29.0852527618,14.2,176.2,172.0,SANEO
2024-09-10T00:21:03.000000,41.5244140625,29.0860404968,14.3,181.1,181.0,SANEO
2024-09-10T00:30:57.000000,41.4859733582,29.0792942047,13.7,190.3,190.0,SANEO
2024-09-10T00:37:16.000000,41.4636917114,29.0715999603,12.5,196.7,195.0,SANEO
2024-09-10T00:41:15.000000,41.4525184631,29.0668468475,8.8,198.0,197.0,SANEO
2024-09-10T00:49:36.000000,41.4370117188,29.0572528839,6.2,211.6,212.0,SANEO
2024-09-10T00:56:55.000000,41.427696228,29.0486469269,5.1,218.7,223.0,SANEO
2024-09-10T01:02:04.000000,41.4228973389,29.0417308807,4.7,237.0,245.0,SANEO
2024-09-10T01:09:15.000000,41.419254303,29.0306625366,4.5,249.3,252.0,SANEO
2024-09-10T01:25:04.000000,41.4127960205,29.006023407,3.7,264.3,275.0,SANEO
2024-09-10T01:58:25.000000,41.4136009216,28.9885940552,0.5,243.3,340.0,SANEO
2024-09-10T02:46:56.000000,41.409072876,28.9790496826,0.6,229.5,330.0,SANEO
2024-09-10T03:47:15.000000,41.4054412842,28.9659004211,0.4,237.7,333.0,SANEO
2024-09-10T04:21:57.000000,41.4068984985,28.9768295288,0.6,117.3,61.0,SANEO
2024-09-10T05:15:36.000000,41.3984794617,28.9807395935,0.7,164.0,109.0,SANEO
2024-09-10T05:57:56.000000,41.3895072937,28.9839267731,2.4,127.6,119.0,SANEO
2024-09-10T06:07:07.000000,41.3840446472,28.9944324493,5.0,124.0,122.0,SANEO
2024-09-10T06:09:56.000000,41.3816184998,28.998872757,5.4,127.6,124.0,SANEO
2024-09-10T06:17:54.000000,41.3713531494,29.0147342682,9.5,135.1,135.0,SANEO
2024-09-10T06:21:36.000000,41.3634605408,29.0236740112,10.4,142.2,140.0,SANEO
2024-09-10T06:29:34.000000,41.3440475464,29.0417137146,10.7,145.0,144.0,SANEO
2024-09-10T06:31:56.000000,41.3382797241,29.0469474792,10.6,145.4,143.0,SANEO
2024-09-10T06:39:46.000000,41.3189849854,29.0644130707,10.8,145.0,143.0,SANEO
2024-09-10T06:45:56.000000,41.3036270142,29.0783538818,10.8,145.0,144.0,SANEO
2024-09-10T06:52:06.000000,41.2888946533,29.0920372009,9.2,144.9,143.0,SANEO
2024-09-10T07:00:25.000000,41.2731285095,29.1064033508,7.7,145.9,144.0,SANEO
2024-09-10T07:02:45.000000,41.2689323425,29.1101131439,7.6,146.9,144.0,SANEO
2024-09-10T07:11:06.000000,41.253780365,29.1224594116,7.6,156.9,155.0,SANEO
2024-09-10T07:13:06.000000,41.2494049072,29.124830246,9.3,159.8,159.0,SANEO
2024-09-10T07:23:24.000000,41.2239875793,29.1245594025,8.1,210.8,210.0,SANEO
2024-09-10T07:31:36.000000,41.206905365,29.1126861572,8.7,205.4,203.0,SANEO
2024-09-10T07:42:15.000000,41.1836700439,29.0872859955,11.3,223.5,221.0,SANEO
2024-09-10T07:47:25.000000,41.1712875366,29.0726890564,11.7,221.5,220.0,SANEO
2024-09-10T07:52:27.000000,41.1584815979,29.0595397949,11.1,203.3,191.0,SANEO
2024-09-10T08:05:21.000000,41.1226387024,29.0776901245,11.4,171.2,188.0,SANEO
2024-09-10T08:16:05.000000,41.0942382812,29.0598106384,11.5,182.5,180.0,SANEO
2024-09-10T08:23:25.000000,41.0711288452,29.0515804291,12.5,201.4,200.0,SANEO
2024-09-10T08:27:54.000000,41.0559463501,29.0439033508,13.3,208.6,210.0,SANEO
2024-09-10T08:40:07.000000,41.0268669128,29.0012226105,12.4,220.3,205.0,SANEO
2024-09-10T08:41:35.000000,41.0225410461,28.9979400635,12.0,202.3,188.0,SANEO
